arch_str,acc-cifar10,acc-cifar100,acc-ImageNet,flops-cifar10,flops-cifar100,flops-ImageNet
|avg_pool_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|,81.98266665690103,52.69999994710287,28.21111109246148,15.64737,15.65322,3.91948
|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|skip_connect~2|,90.76933332438152,69.82666662190756,44.48888885158963,113.95137,113.95722,28.49548
|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|avg_pool_3x3~2|,81.91066666178385,54.29999997355143,27.633333304511172,78.56193,78.56778,19.64812
|avg_pool_3x3~0|+|skip_connect~0|none~1|+|none~0|none~1|skip_connect~2|,84.3773333203125,57.413333288574215,29.433333336724175,7.78305,7.788900000000001,1.9534
|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|,85.12533334147135,59.5666666402181,32.14444441053603,15.64737,15.65322,3.91948
|nor_conv_1x1~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|avg_pool_3x3~2|,87.81200000488282,66.22666664835612,37.87777772691515,51.03681,51.04265999999999,12.76684
|nor_conv_3x3~0|+|none~0|none~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_3x3~2|,88.80933333821615,68.6533333251953,38.84444436645508,113.95137,113.95722,28.49548
|none~0|+|skip_connect~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|,89.15466666503907,67.1333333190918,40.1333332502577,78.56193,78.56778,19.64812
|nor_conv_1x1~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,89.24399999023437,67.81333326416016,41.02222215101454,47.10465,47.1105,11.7838
|avg_pool_3x3~0|+|none~0|none~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,84.46266667805989,57.80666664835612,29.399999991522893,43.17249,43.17834,10.800760000000002
|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|none~0|none~1|none~2|,9.711999998728436,0.9999999994913736,0.8333333324856228,113.95137,113.95722,28.49548
|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|none~0|nor_conv_3x3~1|avg_pool_3x3~2|,87.9399999983724,67.45333326416016,30.411111104329425,113.95137,113.95722,28.49548
|none~0|+|none~0|none~1|+|none~0|nor_conv_3x3~1|avg_pool_3x3~2|,9.712000001322428,0.9999999996185304,0.8333333322736953,43.17249,43.17834,10.800760000000002
|none~0|+|avg_pool_3x3~0|skip_connect~1|+|nor_conv_3x3~0|nor_conv_1x1~1|nor_conv_1x1~2|,88.34533333251954,67.6066666442871,38.18888882107205,51.03681,51.04265999999999,12.76684
|nor_conv_3x3~0|+|none~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|none~2|,88.59466666259766,66.95999997762044,38.97777775404188,82.49409,82.49994,20.63116
|skip_connect~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|none~1|avg_pool_3x3~2|,56.54266665608723,31.840000009155276,13.711111083136664,7.78305,7.788900000000001,1.9534
|skip_connect~0|+|skip_connect~0|nor_conv_3x3~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,90.26666666910808,68.86666663818359,42.48888886854383,78.56193,78.56778,19.64812
|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_1x1~0|skip_connect~1|nor_conv_1x1~2|,86.7026666707357,64.5133333211263,36.57777777438693,19.57953,19.58538,4.90252
|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_1x1~2|,87.7839999967448,64.80666662801106,37.97777773708768,82.49409,82.49994,20.63116
|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|,84.80266667154949,61.359999947102864,30.444444415622286,82.49409,82.49994,20.63116
|none~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|,87.2853333211263,63.89333332722982,34.20000001017252,78.56193,78.56778,19.64812
|nor_conv_1x1~0|+|none~0|none~1|+|nor_conv_1x1~0|nor_conv_3x3~1|none~2|,89.33066665852864,68.9666666402181,42.566666592068145,51.03681,51.04265999999999,12.76684
|avg_pool_3x3~0|+|avg_pool_3x3~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|nor_conv_1x1~2|,86.06266666666666,63.013333337402344,35.48888881089952,47.10465,47.1105,11.7838
